,number,value,datetime_start,datetime_complete,duration,params_Optimizer,params_batch_size,params_hidden size memory unit 1,params_hidden size memory unit 2,params_learning rate,params_linear layer units 1,params_linear layer units 2,params_n_growth_factor_0,params_n_growth_factor_1,params_n_growth_factor_2,params_number layer memory unit,params_number of convolution layers,state
70,70,0.9737885,46:53.5,49:04.0,0 days 00:02:10.514087,SGD,16,64,128,2.30E-10,256,128,1,,,2,1,COMPLETE
71,71,0.194290891,49:04.4,50:15.9,0 days 00:01:11.471375,SGD,64,64,128,3.56E-10,256,512,1,1,1,2,3,COMPLETE
72,72,0.195386201,50:16.0,51:27.6,0 days 00:01:11.608229,SGD,64,64,128,3.57E-10,256,512,1,1,1,2,3,COMPLETE
73,73,0.194922924,51:27.7,52:40.7,0 days 00:01:12.977713,SGD,64,64,128,4.00E-10,256,512,1,1,1,2,3,COMPLETE
74,74,0.193026513,52:40.8,53:52.7,0 days 00:01:11.890652,SGD,64,64,128,4.07E-10,256,512,1,1,1,2,3,COMPLETE
75,75,0.196946785,53:52.8,55:06.8,0 days 00:01:14.050313,Adadelta,64,64,128,4.29E-10,256,512,1,1,1,2,3,COMPLETE
76,76,0.194255948,55:06.9,56:18.7,0 days 00:01:11.742442,SGD,64,64,128,3.96E-10,256,512,1,1,1,2,3,COMPLETE
77,77,0.197371736,56:18.8,57:13.4,0 days 00:00:54.586416,Adagrad,64,64,128,3.89E-10,512,512,1,1,1,1,3,COMPLETE
78,78,0.196469754,57:13.4,58:25.4,0 days 00:01:11.953400,SGD,64,64,128,4.78E-10,256,512,1,1,1,2,3,COMPLETE
79,79,0.199651152,58:25.5,00:58.4,0 days 00:02:32.921612,SGD,64,256,128,4.31E-10,128,512,1,1,1,2,3,COMPLETE
80,80,0.198182091,00:58.7,02:10.3,0 days 00:01:11.601505,SGD,64,64,128,4.01E-10,256,512,1,1,1,2,3,COMPLETE
81,81,0.194914684,02:10.4,03:22.2,0 days 00:01:11.816891,SGD,64,64,128,3.07E-10,256,512,1,1,1,2,3,COMPLETE
82,82,0.197646722,03:22.3,04:35.9,0 days 00:01:13.594825,SGD,64,64,128,3.19E-10,256,512,1,1,1,2,3,COMPLETE
83,83,0.42658332,04:36.0,06:30.7,0 days 00:01:54.691054,SGD,64,64,128,3.97E-10,256,512,1,1,2,2,3,COMPLETE
84,84,0.196682036,06:31.0,07:42.7,0 days 00:01:11.699209,SGD,64,64,128,2.96E-10,256,512,1,1,1,2,3,COMPLETE
85,85,0.245665342,07:42.8,09:06.5,0 days 00:01:23.668709,SGD,64,64,128,3.38E-10,256,512,1,,,2,1,COMPLETE
86,86,0.196813092,09:06.7,10:18.3,0 days 00:01:11.681091,SGD,64,64,128,4.75E-10,256,512,1,1,1,2,3,COMPLETE
87,87,0.198116049,10:18.4,11:30.7,0 days 00:01:12.217516,SGD,64,64,128,4.43E-10,256,512,1,1,1,2,3,COMPLETE
88,88,0.427579075,11:30.8,13:29.0,0 days 00:01:58.286036,Adadelta,64,64,128,2.33E-10,256,512,2,1,1,2,3,COMPLETE
89,89,1.829261303,13:29.4,18:23.0,0 days 00:04:53.666880,SGD,32,64,128,3.81E-10,256,512,1,2,2,2,3,COMPLETE
90,90,0.195663437,18:24.7,19:43.4,0 days 00:01:18.745679,Adagrad,64,64,128,5.07E-10,256,512,1,1,1,2,3,COMPLETE
91,91,0.194687366,19:43.5,20:55.0,0 days 00:01:11.468088,SGD,64,64,128,3.45E-10,256,512,1,1,1,2,3,COMPLETE
92,92,0.197426364,20:55.1,22:13.7,0 days 00:01:18.558256,SGD,64,64,128,3.05E-10,256,512,1,1,1,2,3,COMPLETE
93,93,0.196422324,22:13.8,23:26.8,0 days 00:01:13.039528,SGD,64,64,128,4.12E-10,256,512,1,1,1,2,3,COMPLETE
94,94,0.198374063,23:26.9,24:39.2,0 days 00:01:12.342106,SGD,64,64,128,3.34E-10,256,512,1,1,1,2,3,COMPLETE
95,95,0.19904168,24:39.3,25:52.0,0 days 00:01:12.678730,SGD,64,64,128,2.93E-10,256,512,1,1,1,2,3,COMPLETE
96,96,0.787834883,25:52.1,28:56.2,0 days 00:03:04.062191,SGD,16,256,128,3.77E-10,256,512,1,1,1,2,3,COMPLETE
97,97,0.202502042,28:56.8,29:50.3,0 days 00:00:53.519489,SGD,64,64,128,4.60E-10,256,512,1,1,1,1,3,COMPLETE
98,98,0.196066245,29:50.4,31:36.3,0 days 00:01:45.973988,SGD,64,64,256,3.42E-10,256,512,1,1,1,2,3,COMPLETE
99,99,0.199531138,31:36.5,32:49.6,0 days 00:01:13.153686,SGD,64,64,128,2.06E-10,256,512,1,1,1,2,3,COMPLETE
